ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,2408.815783,372.5772728,113.5426361,2.051096275,28.55180944,67.65894855,0.368809155,0.016552299,0,1,1
1,716.8553882,566.9693444,43.94408404,1.823161587,46.24618698,48.68029695,0.928592355,0.039843801,1,0,0
1,1251.114362,1298.029728,47.10546962,0.446780495,29.70322863,42.95831514,0.475142045,0.021196777,0,1,0
1,1649.445975,1349.540758,83.80497271,2.818535935,30.1457337,68.00570385,0.467366536,0.021034195,0,1,1
1,1169.094879,906.7420546,131.4376033,2.993811498,45.58780523,60.5568957,0.20501709,0.009405065,1,0,1
1,254.0649743,663.834846,80.61359647,1.682341754,63.9324458,56.94973782,0.015619272,0.00069165,0,1,0
1,1833.713531,1670.010071,48.92386089,1.465857597,61.50360544,33.82195777,0.669871238,0.030048035,1,0,0
1,1937.548606,1039.078763,107.1727087,6.170166811,45.08457198,43.63378952,0.442097356,0.021196145,1,0,0
1,757.6622906,704.6688783,99.20651215,1.371035612,49.40415672,63.65718968,0.432870599,0.019088439,0,1,0
1,654.5449794,766.7212116,184.6099352,1.372189617,22.79938102,66.73429707,0.220174154,0.010803511,0,1,1
1,565.6335104,324.6518131,154.0576382,0.949469224,19.96504498,65.24631642,0.326075026,0.014688756,0,1,1
1,1790.278833,928.1110964,73.98887503,2.049585634,55.26422083,69.8454794,0.480414371,0.022064894,0,1,1
1,1045.758225,1303.80274,61.78854832,1.18784693,52.48845501,37.80323486,0.452456993,0.020081103,0,1,0
1,2234.427717,2169.02778,24.56086624,2.718580319,10.58485261,15.96215062,0.355319831,0.015935571,1,0,0
1,1069.961089,4248.086237,135.3391417,7.333447664,38.56904548,62.31639965,0.150012112,0.006777135,0,1,1
1,672.7674258,259.5234543,132.4902454,1.175555715,30.38384792,44.24917479,0.017434649,0.000634851,0,1,1
1,1103.323839,1881.939943,112.0406022,3.243565228,38.27147051,81.44316786,0.149804688,0.006808651,0,1,0
1,570.5664454,467.6326717,115.9586289,1.797538481,15.6462115,57.85608827,0.690361023,0.029952499,1,1,0
1,938.842509,658.4530306,97.96888861,1.061590882,31.92445815,53.34095673,0.124059041,0.005296737,1,0,1
1,356.0544643,985.145383,116.7093919,2.268826598,35.68161073,62.60204811,0.037036401,0.001588167,0,1,1
1,794.4280775,519.255982,130.9586691,1.468112809,60.52743596,70.70844707,0.150716146,0.006948768,0,1,1
1,1075.081861,493.0094649,170.6261138,2.167209958,30.57272711,85.45698436,0.000982375,4.20E-05,0,1,1
1,257.734958,210.9516701,152.5694343,0.863164207,37.66057954,57.59773394,0.65421096,0.030402766,1,0,0
1,851.0478353,710.2607142,76.68727124,0.843447984,35.95594123,41.47190576,0.279042562,0.012862118,0,1,1
1,494.3296962,592.0177759,140.7986336,1.026264756,42.68498746,66.14815935,0.218330383,0.010564879,1,1,0
1,706.1553646,716.6587564,120.6452976,2.2464091,52.9275999,72.2009254,0.467787489,0.022287445,1,0,0
1,927.9849038,393.2950295,139.4662787,2.105026142,55.07448435,75.60446118,0.475074768,0.022369672,1,1,1
1,904.1887507,719.5588912,56.84804661,0.979550162,150.2015735,44.79365823,0.409852632,0.01924732,0,1,1
1,984.3360987,88.33396772,166.711848,3.552854493,21.68606869,54.19262571,0.791068209,0.035065527,1,0,0
1,771.65525,712.6549464,99.1370631,0.970725146,28.9357241,57.77902186,0.840119269,0.036275019,1,0,0
