ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,969.9761805,501.7473663,93.36125074,2.255370582,49.44721458,57.33456948,0.391928675,0.018160532,0,1,1
1,1452.641486,453.8668732,149.7878306,2.817094652,62.64925363,99.46585344,0.484939575,0.023039598,1,1,1
1,1629.757361,1655.444541,76.05089041,0.39811833,38.68927727,37.11105924,0.0025177,9.46E-05,1,1,0
1,839.5816295,1201.775354,147.9059743,1.491905534,12.55982777,60.97526376,0.159699136,0.007439862,0,1,0
1,1040.705733,895.3797014,162.1335577,4.104935629,30.76301604,61.75021119,0.591701931,0.027284306,1,0,1
1,448.4190589,116.378748,190.1785544,1.680416768,41.00132129,65.3061104,0.283121566,0.013549766,0,1,1
1,640.4926792,658.180872,128.2959336,0.475884718,38.7556779,71.06037849,0.490976563,0.022009657,1,0,0
1,1358.940018,754.4814502,112.6548954,2.65255818,68.79628117,68.032541,0.542587996,0.024172514,1,0,1
1,106.2736315,102.6464777,190.9743315,0.176655006,23.94461348,85.91708314,0.403025339,0.017344222,0,1,0
1,493.7599884,493.5312106,116.3631841,0.1783677,16.57932033,22.77197996,0.385309751,0.017224294,0,1,0
1,1109.988825,610.7567973,82.43857509,1.853574385,46.74608699,33.62749929,0.443409223,0.019287256,0,1,1
1,1586.317489,1481.180832,120.8429937,3.696621267,32.11090101,49.97266495,0.557235308,0.023735936,0,1,1
1,1136.882582,809.962033,103.0080878,1.686900605,32.79283018,65.54884772,0.446920956,0.022083524,0,1,1
1,1374.493105,1943.646103,31.89727404,2.213186734,11.28091054,37.59426944,0.20390625,0.009942887,0,1,0
1,295.2882115,33.87975742,203.3194749,1.306256252,41.1779836,65.70027583,0.348935704,0.015675604,0,1,1
1,899.6072056,324.565012,139.8474873,2.177633721,51.73797786,79.23827245,0.43123172,0.019933797,0,1,1
1,631.8504504,738.229291,129.8761442,0.903157813,27.2248691,62.16208551,0.208205416,0.009219712,0,1,0
1,710.6411863,835.492033,60.60862663,1.556034153,2.543585324,32.93264775,0.149388288,0.006499609,0,1,0
1,554.0984357,473.884271,170.0320199,1.478008158,57.12733376,61.70376302,0.412927498,0.018247074,0,1,1
1,1385.103371,861.4681899,115.748402,1.829704839,54.1152432,81.34720188,0.225776486,0.010972418,0,1,1
1,854.4077351,356.8680015,170.6392113,2.257801759,20.42320352,86.23969336,0.44022552,0.020678589,0,1,1
1,558.7589044,1131.566687,52.4307659,0.521184674,16.78482804,19.79726834,0.173976089,0.007656917,0,1,0
1,713.838842,279.6202424,169.4495928,1.327139603,20.16942585,68.8839202,0.00784651,0.000278365,0,1,1
1,954.7073171,824.4775693,77.83872068,2.917211883,49.26427494,39.58117173,0.789733887,0.033880577,1,1,0
